번호,광역 지역,지역구분,지역명,키워드,동적변환 키워드,k 파라미터 원문,제출용 URL,한글 디코딩 URL,중복 여부
1,서울,서울구,강남구,태양광 설치,강남구 태양광 설치,강남구-태양광설치,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%ED%83%9C%EC%96%91%EA%B4%91%EC%84%A4%EC%B9%98,https://www.solarlink.co.kr/?k=강남구-태양광설치,N
2,서울,서울구,강남구,태양광 업체,강남구 태양광 업체,강남구-태양광업체,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%ED%83%9C%EC%96%91%EA%B4%91%EC%97%85%EC%B2%B4,https://www.solarlink.co.kr/?k=강남구-태양광업체,N
3,서울,서울구,강남구,건물 태양광,강남구 건물 태양광,강남구-건물태양광,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%EA%B1%B4%EB%AC%BC%ED%83%9C%EC%96%91%EA%B4%91,https://www.solarlink.co.kr/?k=강남구-건물태양광,N
4,서울,서울구,강남구,옥상 태양광,강남구 옥상 태양광,강남구-옥상태양광,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%EC%98%A5%EC%83%81%ED%83%9C%EC%96%91%EA%B4%91,https://www.solarlink.co.kr/?k=강남구-옥상태양광,N
5,서울,서울구,강남구,상가 태양광,강남구 상가 태양광,강남구-상가태양광,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%EC%83%81%EA%B0%80%ED%83%9C%EC%96%91%EA%B4%91,https://www.solarlink.co.kr/?k=강남구-상가태양광,N
6,서울,서울구,강남구,공장 태양광,강남구 공장 태양광,강남구-공장태양광,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%EA%B3%B5%EC%9E%A5%ED%83%9C%EC%96%91%EA%B4%91,https://www.solarlink.co.kr/?k=강남구-공장태양광,N
7,서울,서울구,강남구,지붕 태양광 임대,강남구 지붕 태양광 임대,강남구-지붕태양광임대,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%EC%A7%80%EB%B6%95%ED%83%9C%EC%96%91%EA%B4%91%EC%9E%84%EB%8C%80,https://www.solarlink.co.kr/?k=강남구-지붕태양광임대,N
8,서울,서울구,강남구,태양광 발전사업,강남구 태양광 발전사업,강남구-태양광발전사업,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%82%A8%EA%B5%AC-%ED%83%9C%EC%96%91%EA%B4%91%EB%B0%9C%EC%A0%84%EC%82%AC%EC%97%85,https://www.solarlink.co.kr/?k=강남구-태양광발전사업,N
9,서울,서울구,강동구,태양광 설치,강동구 태양광 설치,강동구-태양광설치,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%8F%99%EA%B5%AC-%ED%83%9C%EC%96%91%EA%B4%91%EC%84%A4%EC%B9%98,https://www.solarlink.co.kr/?k=강동구-태양광설치,N
10,서울,서울구,강동구,태양광 업체,강동구 태양광 업체,강동구-태양광업체,https://www.solarlink.co.kr/?k=%EA%B0%95%EB%8F%99%EA%B5%AC-%ED%83%9C%EC%96%91%EA%B4%91%EC%97%85%EC%B2%B4,https://www.solarlink.co.kr/?k=강동구-태양광업체,N
